hid,quintile,emp_status,region,housing,rururb,disab,disab_def,econat,econat_def,age,rank_tot,district,hhsize,mar_status,mar_status_def,gender,povqual,pstatus,pstatus_def,emp_status_def,edu_y,ethnic,reli,wt,ht,bmi,reg
70079/02,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,34,8.997005,113,5,5,Widowed,Female,BECE,Non poor,1,2,9, Sefwi, Protestant,52.5,161,20.25384823,Western
70079/03,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,38,8.518476,113,6,1,Married,Male,SSS/Secondary,Non poor,1,2,12, Sefwi, Protestant,60.3,169,21.11270614,Western
70079/04,4,Self-employed (non-agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,33,15.37419,113,2,4,Divorced,Female,None,Non poor,1,1,7, Sefwi, Pentecostal/Charismatic,72.32,169,25.32124225,Western
70079/05,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,48,8.645507,113,6,1,Married,Male,MSLC,Non poor,1,2,10, Asante, Other Christian,60.25,168,21.3470805,Western
70079/06,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,51,8.866825,113,10,1,Married,Male,MSLC,Non poor,1,2,10, Asante, Catholic,64.3,176,20.7580062,Western
70079/07,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,50,11.44829,113,1,4,Divorced,Male,MSLC,Non poor,1,2,10, Asante, Catholic,52.6,163,19.79750837,Western
70079/08,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,48,9.664758,113,8,1,Married,Male,MSLC,Non poor,1,2,10, Asante, Other Christian,61.3,160,23.9453125,Western
70079/09,4,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,29,15.82344,113,1,6,Never married,Male,SSS/Secondary,Non poor,1,2,12, Asante, Other Christian,59.63,162,22.72138394,Western
70079/10,3,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,29,8.685584,113,4,1,Married,Male,None,Non poor,1,2,7, Sefwi, Other Christian,64.15,172,21.68401839,Western
70079/11,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,78,8.985626,113,4,1,Married,Male,MSLC,Non poor,1,2,10, Sefwi, Pentecostal/Charismatic,58.2,153,24.86223247,Western
70079/12,4,Private Employee,1,Owning,Rural,2. Non Pwds,1,1,Employed,24,10.77364,113,1,6,Never married,Male,SSS/Secondary,Non poor,1,4,12, Asante, Pentecostal/Charismatic,63.3,169,22.16308953,Western
70079/13,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,35,15.01935,113,2,1,Married,Male,BECE,Non poor,1,2,9, Asante, Protestant,0,0,0,Western
70079/14,3,Self-employed (agric),1,Renting,Rural,2. Non Pwds,1,1,Employed,54,9.407598,113,5,1,Married,Male,MSLC,Non poor,1,2,10, Asante, Pentecostal/Charismatic,59.6,166,21.62868341,Western
70079/15,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,42,13.45914,113,3,1,Married,Male,None,Non poor,1,2,3, Sefwi, No religion,58.3,165,21.41414141,Western
70080/01,1,Private Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,50,2.848092,114,6,1,Married,Male,None,Poor,0,4,0, All other tribes originating from Ghana, Islam,67,170,23.183391,Western
70080/02,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,47,1.774325,114,6,1,Married,Male,None,Poor,0,2,6, Sefwi, Other Christian,68.25,176,22.03318698,Western
70080/03,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,50,3.39712,114,8,1,Married,Male,None,Poor,0,2,8, Ahafo, Protestant,67,154,28.25096981,Western
70080/04,1,Private Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,25,2.750517,114,3,2,Consensual Union,Male,BECE,Poor,0,4,11, Boron (Brong) (including Banda), Catholic,63,167,22.58955144,Western
70080/05,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,35,3.652686,114,7,1,Married,Male,None,Poor,0,2,0, Kusasi, Pentecostal/Charismatic,67,154,28.25096981,Western
70080/06,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,39,1.3598,114,7,1,Married,Male,None,Poor,0,2,4, Kusasi, Protestant,67,152,28.99930748,Western
70080/07,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,38,1.75681,114,9,1,Married,Male,None,Poor,0,2,0, Kusasi, Islam,0,0,0,Western
70080/08,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,59,4.299924,114,7,1,Married,Male,MSLC,Poor,0,2,10, Asante, Other Christian,59.75,170,20.67474048,Western
70080/09,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,31,4.62916,114,3,1,Married,Female,None,Poor,0,2,8, Sefwi, Catholic,57,149,25.67451917,Western
70080/10,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,44,3.797624,114,6,1,Married,Male,BECE,Poor,0,2,9, Asante, Catholic,77.2,190,21.38504155,Western
70080/11,1,Unemployed,1,Rent-free,Rural,2. Non Pwds,1,2,Unemployed,30,3.601872,114,4,1,Married,Female,None,Poor,0,6,6, Sefwi, Protestant,59.25,165,21.7630854,Western
70080/12,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,40,4.458515,114,6,1,Married,Male,BECE,Poor,0,2,9, Sefwi, Catholic,67,172,22.64737696,Western
70080/13,3,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,24,8.842896,114,1,6,Never married,Male,BECE,Non poor,1,2,9, Boron (Brong) (including Banda), Islam,63.25,178,19.96275723,Western
70080/14,2,Self-employed (agric),1,Renting,Rural,2. Non Pwds,1,1,Employed,36,5.09404,114,5,1,Married,Male,BECE,Non poor,1,2,9, Ewe, Pentecostal/Charismatic,65.95,165,24.22405877,Western
70080/15,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,42,1.741354,114,8,1,Married,Male,BECE,Poor,0,2,9,, Other Christian,55.8,173,18.64412443,Western
70081/01,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,32,5.696826,114,4,1,Married,Male,None,Non poor,1,2,5, Sefwi, Pentecostal/Charismatic,55.8,160,21.796875,Western
70081/02,2,Private Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,36,5.951807,114,6,1,Married,Male,None,Non poor,1,4,4, Kusasi, Pentecostal/Charismatic,65.5,172,22.14034613,Western
70081/03,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,77,2.14124,114,5,1,Married,Male,None,Poor,0,2,6," Awutu, Efutu, Senya, Breku", Other Christian,48.5,152,20.99203601,Western
70081/04,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,45,2.943982,114,6,1,Married,Male,BECE,Poor,0,2,9, Sefwi, No religion,50.6,149,22.79176614,Western
70081/05,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,45,2.653618,114,7,1,Married,Male,BECE,Poor,0,2,9, Sefwi, Pentecostal/Charismatic,47.7,167,17.10351752,Western
70081/06,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,57,4.083484,114,5,5,Widowed,Female,None,Poor,0,2,5, Sefwi, Pentecostal/Charismatic,49.9,157,20.24422897,Western
70081/07,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,48,2.354485,114,8,1,Married,Male,MSLC,Poor,0,2,10, Sefwi, Other Christian,55,159,21.75546853,Western
70081/08,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,44,4.208811,114,6,5,Widowed,Female,MSLC,Poor,0,2,10, Asante, Other Christian,45.5,163,17.12522112,Western
70081/09,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,64,2.672484,114,5,1,Married,Male,None,Poor,0,2,6," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", No religion,59.9,165,22.00183655,Western
70081/10,2,Public Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,61,6.083259,114,5,1,Married,Male,Tertiary,Non poor,1,3,15, Fante, Protestant,60,165,22.03856749,Western
70081/11,3,Public Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,49,9.462245,114,2,1,Married,Male,Tertiary,Non poor,1,3,15, Akyem, Protestant,62.6,152,27.09487535,Western
70081/12,4,Public Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,36,12.0258,114,1,6,Never married,Male,Tertiary,Non poor,1,3,15, Fante, Protestant,51.5,170,17.8200692,Western
70081/13,3,Public Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,45,8.621788,114,4,1,Married,Male,Tertiary,Non poor,1,3,15, Sefwi, Pentecostal/Charismatic,60.5,165,22.22222222,Western
70081/14,4,Public Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,43,10.66091,114,1,1,Married,Male,Tertiary,Non poor,1,3,15, Sefwi, Pentecostal/Charismatic,60,161,23.14725512,Western
70081/15,2,Public Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,53,6.841466,114,6,1,Married,Male,Tertiary,Non poor,1,3,15, Nkonya, Pentecostal/Charismatic,74.5,171,25.47792483,Western
70082/01,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,36,7.032761,114,1,2,Consensual Union,Male,BECE,Non poor,1,2,9," Awutu, Efutu, Senya, Breku", Catholic,60,162,22.86236854,Western
70082/02,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,59,4.687407,114,3,5,Widowed,Female,None,Poor,0,2,3, Fante, Other Christian,51,153,21.78649237,Western
70082/03,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,53,8.998918,114,1,1,Married,Male,MSLC,Non poor,1,2,10," Awutu, Efutu, Senya, Breku", No religion,57.3,168,20.30187075,Western
70082/04,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,42,3.119091,114,11,1,Married,Male,SSS/Secondary,Poor,0,2,12, Kusasi, Islam,59.8,160,23.359375,Western
70082/05,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,43,2.662652,114,6,1,Married,Male,None,Poor,0,2,2," Nankansi, Talensi & Gurense (Frafra)", No religion,55.6,152,24.06509695,Western
70082/06,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,45,3.395681,114,5,1,Married,Male,MSLC,Poor,0,2,10," Awutu, Efutu, Senya, Breku", Pentecostal/Charismatic,59.5,161,22.95436133,Western
70082/07,2,Private Employee,1,Rent-free,Rural,2. Non Pwds,1,1,Employed,19,5.149668,114,1,6,Never married,Male,BECE,Non poor,1,4,9, Asante, Other Christian,60.3,168,21.36479592,Western
70082/09,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,63,3.918001,114,8,1,Married,Male,MSLC,Poor,0,2,10, Other Grusi (e, No religion,61,170,21.10726644,Western
70082/10,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,28,4.24791,114,5,1,Married,Male,None,Poor,0,2,2," Nankansi, Talensi & Gurense (Frafra)", Catholic,52.6,155,21.89386056,Western
70082/11,4,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,67,13.22702,114,1,1,Married,Female,None,Non poor,1,2,0," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Pentecostal/Charismatic,52.4,155,21.81061394,Western
70082/12,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,48,3.782876,114,9,1,Married,Male,MSLC,Poor,0,2,10, Asante, Pentecostal/Charismatic,62.5,170,21.62629758,Western
70082/13,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,52,8.780005,114,3,1,Married,Male,None,Non poor,1,2,0, Sefwi, Pentecostal/Charismatic,60.5,160,23.6328125,Western
70082/14,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,49,2.937454,114,9,1,Married,Male,MSLC,Poor,0,2,10, Boron (Brong) (including Banda), Pentecostal/Charismatic,57.5,160,22.4609375,Western
70082/15,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,31,5.5134,114,1,6,Never married,Male,BECE,Non poor,1,2,9, Boron (Brong) (including Banda), Islam,50.6,159,20.01503105,Western
70083/01,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,63,11.13901,114,3,1,Married,Male,MSLC,Non poor,1,2,10," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Pentecostal/Charismatic,58.45,160,22.83203125,Western
70083/02,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,60,9.616226,114,3,1,Married,Female,None,Non poor,1,2,6," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Pentecostal/Charismatic,68.45,144,33.01022377,Western
70083/03,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,57,15.2375,114,1,1,Married,Male,MSLC,Non poor,1,2,10," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Protestant,60.56,169,21.20373936,Western
70083/04,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,27,6.697343,114,5,2,Consensual Union,Male,None,Non poor,1,2,9," Nankansi, Talensi & Gurense (Frafra)", Protestant,58.63,171,20.05061386,Western
70083/05,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,53,13.74006,114,10,1,Married,Male,Voc/Tech/Teacher,Non poor,1,2,15," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Protestant,60.07,174,19.84079799,Western
70083/06,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,49,13.75901,114,1,4,Divorced,Female,None,Non poor,1,2,0," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Pentecostal/Charismatic,64.63,165,23.73921028,Western
70083/07,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,58,8.081003,114,6,1,Married,Male,None,Non poor,1,2,0, Kusasi, Protestant,0,0,0,Western
70083/08,2,Other Inactive,1,Owning,Rural,,1,3,Not in labor force,57,4.704967,114,7,1,Married,Male,None,Poor,0,5,0," Dagarte (Dagaba), Lobi , Wali (Wala)", Pentecostal/Charismatic,0,0,0,Western
70083/09,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,37,10.94357,114,1,6,Never married,Male,None,Non poor,1,2,0, Ewe, No religion,59.18,175,19.32408163,Western
70083/10,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,28,10.06572,114,1,6,Never married,Male,None,Non poor,1,2,0," Dagarte (Dagaba), Lobi , Wali (Wala)", Islam,63.29,169,22.15958825,Western
70083/11,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,59,13.48158,114,1,4,Divorced,Male,None,Non poor,1,2,0," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", No religion,61.89,173,20.67894016,Western
70083/12,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,32,14.23913,114,1,6,Never married,Female,None,Non poor,1,2,4," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Pentecostal/Charismatic,65.32,162,24.88949855,Western
70083/13,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,50,8.000909,114,3,5,Widowed,Male,MSLC,Non poor,1,2,10," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", No religion,57.82,173,19.3190551,Western
70083/14,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,51,12.60915,114,2,5,Widowed,Female,None,Non poor,1,2,0," Dangme (Ada, Shai, Krobo, Osudoku,Ningo)", Pentecostal/Charismatic,72.43,169,25.35975631,Western
70083/15,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,60,9.411796,114,6,5,Widowed,Female,None,Non poor,1,2,7, Asante, Catholic,58.36,163,21.96544845,Western
70084/01,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,39,4.55798,115,6,2,Consensual Union,Male,None,Poor,0,2,8, Asante, No religion,54.2,165.8,19.71651866,Western
70084/02,2,Unemployed,1,Rent-free,Rural,2. Non Pwds,1,2,Unemployed,58,6.556157,115,1,5,Widowed,Male,Voc/Tech/Teacher,Non poor,1,6,15, Sefwi, Pentecostal/Charismatic,63.65,165.6,23.21013909,Western
70084/03,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,44,13.73129,115,1,2,Consensual Union,Female,None,Non poor,1,2,7, Sefwi, Catholic,49.55,157.5,19.97480474,Western
70084/04,1,Private Employee,1,Owning,Rural,2. Non Pwds,1,1,Employed,28,3.426904,115,4,2,Consensual Union,Male,None,Poor,0,4,7, Sefwi, No religion,72.6,160.5,28.1829563,Western
70084/05,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,34,3.528808,115,7,2,Consensual Union,Male,BECE,Poor,0,2,9, Sefwi, Catholic,62.35,167.7,22.17023684,Western
70084/06,2,Other Inactive,1,Owning,Rural,1. PWD,0,3,Not in labor force,61,4.921758,115,7,1,Married,Male,MSLC,Non poor,1,5,10, Sefwi, Catholic,44.85,156,18.42948718,Western
70084/07,2,Self-employed (agric),1,Rent-free,Rural,1. PWD,0,1,Employed,22,6.25295,115,4,2,Consensual Union,Male,None,Non poor,1,2,7, Sefwi, Pentecostal/Charismatic,59.95,178.1,18.89998017,Western
70084/08,2,Private Employee,1,Owning,Rural,2. Non Pwds,1,1,Employed,29,5.737892,115,3,2,Consensual Union,Male,SSS/Secondary,Non poor,1,4,12, Sefwi, Pentecostal/Charismatic,64.8,155.4,26.83323147,Western
70084/09,4,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,57,10.73532,115,1,4,Divorced,Male,MSLC,Non poor,1,2,10, Asante, Catholic,43.6,161.5,16.71634924,Western
70084/10,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,42,4.573945,115,8,2,Consensual Union,Male,MSLC,Poor,0,2,10, Sefwi, No religion,0,0,0,Western
70084/11,1,Other Inactive,1,Owning,Rural,1. PWD,0,3,Not in labor force,69,4.352911,115,8,1,Married,Male,MSLC,Poor,0,5,10, Sefwi, Catholic,0,0,0,Western
70084/12,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,30,4.879386,115,6,1,Married,Male,None,Non poor,1,2,0, Chokosi (Anufor), Islam,0,0,0,Western
70084/13,4,Private Employee,1,Owning,Rural,2. Non Pwds,1,1,Employed,65,10.5532,115,2,1,Married,Male,None,Non poor,1,4,2, Sefwi, No religion,56.35,166.3,20.37555382,Western
70085/01,2,Other Inactive,1,Rent-free,Rural,1. PWD,0,3,Not in labor force,75,4.524349,115,2,4,Divorced,Female,None,Poor,0,5,0, Sefwi, Catholic,50.5,155,21.01977107,Western
70085/02,3,Self-employed (non-agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,28,8.268165,115,3,2,Consensual Union,Male,SSS/Secondary,Non poor,1,1,12, Sefwi, Protestant,54.7,158,21.91155264,Western
70085/03,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,53,3.215955,115,4,4,Divorced,Female,MSLC,Poor,0,2,10, Sefwi, Catholic,50.6,158,20.26918763,Western
70085/04,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,37,5.105021,115,3,5,Widowed,Female,None,Non poor,1,2,6," Wangara (Bambara, Madingo & Dyula)", Islam,60.5,159,23.93101539,Western
70085/05,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,52,4.3428,115,5,4,Divorced,Female,None,Poor,0,2,0, Sefwi, Catholic,52.8,154,22.26345083,Western
70085/06,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,56,4.270292,115,3,1,Married,Female,None,Poor,0,2,4, Sefwi, Protestant,56,160,21.875,Western
70085/07,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,52,3.141088,115,7,1,Married,Male,MSLC,Poor,0,2,10, Sefwi, No religion,0,0,0,Western
70085/08,1,Other Inactive,1,Owning,Rural,2. Non Pwds,1,3,Not in labor force,85,2.76462,115,2,1,Married,Male,None,Poor,0,5,0, Sefwi, Pentecostal/Charismatic,45.5,156,18.6965812,Western
70085/09,3,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,69,9.010387,115,1,4,Divorced,Male,MSLC,Non poor,1,2,10, Sefwi, Protestant,49,153,20.93212012,Western
70085/10,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,35,3.393366,115,5,1,Married,Male,None,Poor,0,2,7, Sefwi, No religion,62.7,167,22.48198214,Western
70085/11,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,70,6.393852,115,2,4,Divorced,Female,None,Non poor,1,2,0, Sefwi, Catholic,49.3,156,20.25805391,Western
70085/12,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,65,4.310671,115,4,5,Widowed,Female,None,Poor,0,2,0, Sefwi, Catholic,46.3,154,19.52268511,Western
70085/13,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,28,3.262644,115,5,2,Consensual Union,Male,BECE,Poor,0,2,9, Sefwi, No religion,58.7,160,22.9296875,Western
70085/14,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,52,3.210726,115,8,1,Married,Male,MSLC,Poor,0,2,10, Sefwi, Pentecostal/Charismatic,58,165,21.30394858,Western
70085/15,5,Other Inactive,1,Rent-free,Rural,2. Non Pwds,1,3,Not in labor force,70,16.4814,115,1,4,Divorced,Female,None,Non poor,1,5,0, Sefwi, No religion,43,150,19.11111111,Western
70086/01,4,Self-employed (non-agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,27,10.692,115,3,2,Consensual Union,Male,BECE,Non poor,1,1,9, Sefwi, Pentecostal/Charismatic,62,162,23.62444749,Western
70086/02,1,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,41,4.194208,115,8,5,Widowed,Female,None,Poor,0,2,5," Nankansi, Talensi & Gurense (Frafra)", Other Christian,57,158,22.83287935,Western
70086/03,5,Self-employed (non-agric),1,Renting,Rural,2. Non Pwds,1,1,Employed,35,19.89362,115,1,6,Never married,Female,BECE,Non poor,1,1,9, Sefwi, Protestant,57.85,172,19.55448891,Western
70086/04,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,60,14.29246,115,1,5,Widowed,Female,None,Non poor,1,2,8, Sefwi, Other Christian,57.45,169,20.11484192,Western
70086/05,3,Self-employed (non-agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,70,8.597062,115,2,5,Widowed,Female,None,Non poor,1,1,0, Sefwi, Other Christian,49.45,170,17.11072664,Western
70086/06,5,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,58,19.87358,115,11,1,Married,Male,None,Non poor,1,2,9, Sefwi, Other Christian,81.45,190,22.56232687,Western
70086/07,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,49,9.925247,115,7,1,Married,Male,MSLC,Non poor,1,2,10, Sefwi, Protestant,54.35,178,17.15376846,Western
70086/08,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,45,6.132463,115,8,1,Married,Male,BECE,Non poor,1,2,9, Sefwi, Pentecostal/Charismatic,73,182,22.03840116,Western
70086/09,1,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,55,4.19131,115,5,1,Married,Female,None,Poor,0,2,8, Sefwi, Other Christian,65,165,23.87511478,Western
70086/10,3,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,34,8.150682,115,4,1,Married,Male,None,Non poor,1,2,6, Sefwi, Catholic,46.5,173,15.53677036,Western
70086/11,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,82,5.125648,115,4,1,Married,Male,None,Non poor,1,2,0, Sefwi, Other Christian,67.75,175,22.12244898,Western
70086/12,3,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,31,9.892437,115,1,4,Divorced,Male,None,Non poor,1,2,7, Sefwi, Protestant,50.55,182,15.26083806,Western
70086/13,2,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,72,6.151586,115,2,5,Widowed,Female,None,Non poor,1,2,7, Sefwi, Pentecostal/Charismatic,54,162,20.57613169,Western
70086/14,4,Private Employee,1,Owning,Rural,2. Non Pwds,1,1,Employed,53,11.18301,115,2,5,Widowed,Male,Voc/Tech/Teacher,Non poor,1,4,15, Sefwi, Protestant,67,163,25.21735858,Western
70086/15,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,45,11.37039,115,2,1,Married,Male,SSS/Secondary,Non poor,1,2,13, Sefwi, Other Christian,63.55,167,22.78676181,Western
70087/01,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,73,13.56627,115,2,1,Married,Male,None,Non poor,1,2,0, Asante, Protestant,62.31,178,19.66607752,Western
70087/02,2,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,40,5.334817,115,6,1,Married,Male,None,Non poor,1,2,0," Dagarte (Dagaba), Lobi , Wali (Wala)", Islam,62.5,178,19.72604469,Western
70087/03,2,Other Inactive,1,Owning,Rural,2. Non Pwds,1,3,Not in labor force,81,7.006314,115,6,1,Married,Male,MSLC,Non poor,1,5,10, Asante, Protestant,62.84,174,20.7557141,Western
70087/05,3,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,34,8.046301,115,4,1,Married,Male,BECE,Non poor,1,2,9, Asante, Pentecostal/Charismatic,62.85,173,20.99969929,Western
70087/07,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,47,11.01961,115,1,4,Divorced,Male,None,Non poor,1,2,6, Asante, Pentecostal/Charismatic,59.32,174,19.59307702,Western
70087/08,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,32,13.81303,115,1,5,Widowed,Female,None,Non poor,1,2,7, Asante, Pentecostal/Charismatic,65.89,168,23.34537982,Western
70087/09,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,57,12.09417,115,1,1,Married,Male,None,Non poor,1,2,5, Sefwi, Catholic,60.87,173,20.33813358,Western
70087/10,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,32,13.14687,115,1,3,Separated,Female,None,Non poor,1,2,6, Sefwi, Pentecostal/Charismatic,62.56,163,23.5462381,Western
70087/11,4,Self-employed (agric),1,Owning,Rural,2. Non Pwds,1,1,Employed,38,12.97087,115,1,4,Divorced,Female,None,Non poor,1,2,0, Asante, Catholic,64.53,168,22.86352041,Western
70087/12,3,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,58,7.649908,115,3,1,Married,Male,None,Non poor,1,2,0, Mamprusi, Protestant,59.65,172,20.16292591,Western
70087/13,3,Self-employed (agric),1,Rent-free,Rural,2. Non Pwds,1,1,Employed,26,9.804421,115,1,6,Never married,Male,None,Non poor,1,2,0, Sisala, Pentecostal/Charismatic,60.45,177,19.29522168,Western
